,joblinks
60,https://de.linkedin.com/jobs/view/business-analystin-at-lawpilots-3870519362?position=1&pageNum=2&refId=ioYIZBuiUplBpWm1jysTSg%3D%3D&trackingId=yKEyXZfoxpfjJf0lN9gPAQ%3D%3D&trk=public_jobs_jserp-result_search-card
61,https://de.linkedin.com/jobs/view/business-analyst-all-genders-at-delivery-hero-3865114249?position=2&pageNum=2&refId=ioYIZBuiUplBpWm1jysTSg%3D%3D&trackingId=exGYtIp%2Fi%2FQAzeOmj4MsIQ%3D%3D&trk=public_jobs_jserp-result_search-card
62,https://de.linkedin.com/jobs/view/business-analyst-controlling-w-m-d-at-getec-group-3832477423?position=3&pageNum=2&refId=ioYIZBuiUplBpWm1jysTSg%3D%3D&trackingId=6Vu6A5OI3AeIvHotIYx5Fw%3D%3D&trk=public_jobs_jserp-result_search-card
63,https://de.linkedin.com/jobs/view/senior-analyst-d-f-m-marketing-science-at-scout24-group-3848212020?position=4&pageNum=2&refId=ioYIZBuiUplBpWm1jysTSg%3D%3D&trackingId=Z2qu2oM19cEYFFOQtoe7gQ%3D%3D&trk=public_jobs_jserp-result_search-card
64,https://de.linkedin.com/jobs/view/senior-marketing-analyst-m-f-d-at-contorion-3858521835?position=5&pageNum=2&refId=ioYIZBuiUplBpWm1jysTSg%3D%3D&trackingId=Mnj3MQ9Ek%2Fe%2B9uFOi05Wlg%3D%3D&trk=public_jobs_jserp-result_search-card
65,https://de.linkedin.com/jobs/view/senior-analyst-strategy-market-intelligence-at-springer-nature-group-3855444273?position=6&pageNum=2&refId=ioYIZBuiUplBpWm1jysTSg%3D%3D&trackingId=VtkejqAb6LHZbXCYh5WK9g%3D%3D&trk=public_jobs_jserp-result_search-card
66,https://de.linkedin.com/jobs/view/senior-marketing-analyst-m-f-d-at-flaconi-3849624664?position=7&pageNum=2&refId=ioYIZBuiUplBpWm1jysTSg%3D%3D&trackingId=fFcCvlRkr1w8wYBvbFApew%3D%3D&trk=public_jobs_jserp-result_search-card
67,https://de.linkedin.com/jobs/view/business-analyst-f-m-d-at-meininger-hotels-3881517513?position=8&pageNum=2&refId=ioYIZBuiUplBpWm1jysTSg%3D%3D&trackingId=jAsqnnrfuLx8pv4dKDVnAg%3D%3D&trk=public_jobs_jserp-result_search-card
68,https://de.linkedin.com/jobs/view/senior-analyst-d-f-m-marketing-science-at-immoscout24-3852978732?position=9&pageNum=2&refId=ioYIZBuiUplBpWm1jysTSg%3D%3D&trackingId=SQTAp6S5tgmIRygoXoz%2FRA%3D%3D&trk=public_jobs_jserp-result_search-card
69,https://de.linkedin.com/jobs/view/business-analyst-f-m-d-at-verve-group-3863976291?position=10&pageNum=2&refId=ioYIZBuiUplBpWm1jysTSg%3D%3D&trackingId=6S3QOX0YRr4NgbSJF0qEsw%3D%3D&trk=public_jobs_jserp-result_search-card
